Date,SDK Library,Decompiled Games,Other Games
2007-08-08 02:07:10,SI,"Galaxy RMGK01_{01,02} sys/main.dol; MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol",Brawl RSBP01_01 sys/main.dol; MKW (Korea) sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-06-28 06:29:42,SO,Brawl RSBE01_02 sys/main.dol,
2007-12-10 10:02:35,SO,MKW (everywhere except Korea) sys/main.dol,MKW (Korea) sys/main.dol
2007-06-28 06:29:43,SOCKET,Brawl RSBE01_02 sys/main.dol,
2007-12-10 10:02:35,SOCKET,MKW (everywhere except Korea) sys/main.dol,MKW (Korea) sys/main.dol
2007-06-21 01:10:10,SSL,Brawl RSBE01_02 sys/main.dol,
2007-11-06 11:10:08,SSL,MKW (everywhere except Korea) sys/main.dol,MKW (Korea) sys/main.dol
2007-05-08 12:30:45,THP,Brawl RSBE01_02 sys/main.dol,
2007-08-08 01:31:54,THP,"Galaxy RMGK01_{01,02} sys/main.dol; MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol",MKW (Korea) sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-06-06 03:01:19,VI,Brawl RSBE01_02 sys/main.dol,
2007-08-08 02:07:17,VI,"Galaxy RMGK01_{01,02} sys/main.dol; MKW (everywhere except Korea) sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol",Brawl RSBP01_01 sys/main.dol; MKW (Korea) sys/main.dol; Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-06-28 02:04:52,WPAD,Brawl RSBE01_02 sys/main.dol,
2007-08-08 02:07:23,WPAD,,Sluggers RMBJ01 & JPN Wii U sys/main.dol
2007-12-11 01:35:07,WPAD,"Galaxy RMGK01_{01,02} sys/main.dol; Sluggers RMBE01 & USA Wii U sys/main.dol",Brawl RSBP01_01 sys/main.dol
2008-01-29 09:01:28,WPAD,MKW (everywhere except Korea) sys/main.dol,MKW (Korea) sys/main.dol
