Decomp,File,AI,AX,CARD,CNT,CNTCACHE,CNTSD,DSP,DVD,DWC,DWCDL,DWCSVL,DWC_LOBBY,ECDK,ENC,EXI,FA,GX,HBM,HID,HIO2,ICMPSO,KBD,KPAD,KPR,MP,MPDL,MPDS,MWM_TMC_JPEG070302,NAND,NCD,NHTTP,NHTTPCREATE,NMIC,NWC24,OS,PAD,PADEmpty,PCCOM,PERF,PMIC,RFL,SC,SI,SKIT,SO,SOCKET,SOFTWARE_KEYBOARD,SSL,THP,TVM_TOSHIBA_CLTTTSJPNT07V100,TVM_TOSHIBA_CLTTTSJPNT07V101,VCT,VEN,VI,WBC,WPAD,WPADDrm,WPADDrw,WPADEpicMickey2,WPADGtr,WPADTbl,WPADTbt,WPADTko
,Brawl RSBP01_01 sys/main.dol,2007-08-08 01:58:12,2007-08-08 01:58:18,2007-08-08 01:58:35,2007-08-08 02:10:20,,,2007-08-08 01:59:06,2007-08-08 01:59:13,,,,,,,2007-08-08 01:59:22,,2007-12-11 01:34:15,2007-11-22 02:58:50,,,,,2007-08-08 02:05:53,,,,,,2007-12-11 01:35:48,,,,,,2008-01-30 01:38:43,2007-10-03 01:00:54,,,,,,2007-08-08 02:09:03,2007-08-08 02:07:10,,,,,,,,,,,2007-08-08 02:07:17,,2007-12-11 01:35:07,,,,,,,
https://github.com/doldecomp/brawl,Brawl RSBE01_02 sys/main.dol,2007-05-08 12:54:34,2007-05-08 12:54:39,2007-05-08 12:54:50,,,,2007-05-08 12:55:11,2007-08-02 01:46:28,2007-12-25 05:12:24,,,,,,2007-06-06 02:56:20,,2007-05-08 12:59:16,2007-05-11 09:53:34,,,,,2007-06-28 02:03:26,,,,,2007-03-02 08:52:19,2007-05-08 01:01:45,2007-06-28 06:29:29,2007-06-27 04:27:59,,,2007-06-28 06:29:32,2007-09-07 02:14:12,2007-05-08 01:00:22,,,,,,2007-05-08 01:01:49,2007-05-08 01:00:23,,2007-06-28 06:29:42,2007-06-28 06:29:43,,2007-06-21 01:10:10,2007-05-08 12:30:45,,,,,2007-06-06 03:01:19,,2007-06-28 02:04:52,,,,,,,
https://github.com/SMGCommunity/Petari,"Galaxy RMGK01_{01,02} sys/main.dol",2007-08-08 01:58:12,,,,,,2007-08-08 01:59:06,2008-02-22 06:17:35,,,,,,,2007-08-08 01:59:22,,2007-12-11 01:34:15,,,,,,2008-06-03 11:53:11,,,,,,2007-12-11 01:35:48,,,,,2007-12-10 10:02:25,2008-01-30 01:38:43,,,,,,2008-03-06 05:40:04,2008-02-22 06:21:38,2007-08-08 02:07:10,,,,,,2007-08-08 01:31:54,,,,,2007-08-08 02:07:17,,2007-12-11 01:35:07,,,,,,,
https://github.com/doldecomp/mkw,MKW (everywhere except Korea) sys/main.dol,2007-08-08 01:58:12,2007-08-08 01:58:18,,2007-08-08 02:10:20,,,2007-08-08 01:59:06,2007-08-08 01:59:13,2008-03-01 09:50:41,,,,,2007-08-08 02:10:13,2007-08-08 01:59:22,,2007-12-11 01:34:15,2007-11-22 02:57:36,,,,,2007-08-08 02:05:53,,,,,,2007-12-11 01:35:48,2007-12-10 10:02:22,2007-10-11 08:49:15,,,2007-12-10 10:02:25,2008-01-28 09:31:54,2007-10-03 01:00:54,,,,,2008-01-28 03:34:44,2007-08-08 02:09:03,2007-08-08 02:07:10,,2007-12-10 10:02:35,2007-12-10 10:02:35,,2007-11-06 11:10:08,2007-08-08 01:31:54,,,,,2007-08-08 02:07:17,,2008-01-29 09:01:28,,,,,,,
,MKW (Korea) sys/main.dol,2007-08-08 01:58:12,2007-08-08 01:58:18,,2007-08-08 02:10:20,,,2007-08-08 01:59:06,2008-02-22 06:17:35,2008-03-01 09:50:41,,,,,2007-08-08 02:10:13,2007-08-08 01:59:22,,2007-12-11 01:34:15,2008-04-24 11:35:11,,,,,2007-08-08 02:05:53,,,,,,2007-12-11 01:35:48,2007-12-10 10:02:22,2007-10-11 08:49:15,,,2007-12-10 10:02:25,2008-01-28 09:31:54,2007-10-03 01:00:54,,,,,2008-01-28 03:34:44,2008-02-22 06:21:38,2007-08-08 02:07:10,,2007-12-10 10:02:35,2007-12-10 10:02:35,,2007-11-06 11:10:08,2007-08-08 01:31:54,,,,,2007-08-08 02:07:17,,2008-01-29 09:01:28,,,,,,,
,Sluggers RMBJ01 & JPN Wii U sys/main.dol,2007-08-08 01:58:12,2007-08-08 01:58:18,,,,,2007-08-08 01:59:06,2007-08-08 01:59:13,,,,,,,2007-08-08 01:59:22,,2007-08-08 02:05:28,2007-10-01 06:59:14,,,,,2007-08-08 02:05:53,,,,,,2007-08-08 02:08:58,,,,,,2007-10-03 01:00:37,,,,,,,2007-08-08 02:09:03,2007-08-08 02:07:10,,,,,,2007-08-08 01:31:54,,,,,2007-08-08 02:07:17,,2007-08-08 02:07:23,,,,,,,
https://github.com/Whodeyy1234/mss-decomp,Sluggers RMBE01 & USA Wii U sys/main.dol,2007-08-08 01:58:12,2007-08-08 01:58:18,,,,,2007-08-08 01:59:06,2007-08-08 01:59:13,,,,,,,2007-08-08 01:59:22,,2007-12-11 01:34:15,2007-10-01 06:59:14,,,,,2007-08-08 02:05:53,,,,,,2007-12-11 01:35:48,,,,,,2008-01-30 01:38:43,,,,,,,2007-08-08 02:09:03,2007-08-08 02:07:10,,,,,,2007-08-08 01:31:54,,,,,2007-08-08 02:07:17,,2007-12-11 01:35:07,,,,,,,
